id,starttime,endtime,volume,projectedflow,occupancy,averagespeed,rawintervalcount,partition_0,partition_1,partition_2
11373365:61:streams.metro.tmr.its,2020-09-10T02:30:00.000Z,2020-09-10T02:45:00.000Z,146,584,4,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T02:45:00.000Z,2020-09-10T03:00:00.000Z,154,616,4,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T03:00:00.000Z,2020-09-10T03:15:00.000Z,150,600,5,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T03:15:00.000Z,2020-09-10T03:30:00.000Z,138,552,4,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T03:30:00.000Z,2020-09-10T03:45:00.000Z,163,652,5,81,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T03:45:00.000Z,2020-09-10T04:00:00.000Z,151,604,4,80,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T04:00:00.000Z,2020-09-10T04:15:00.000Z,157,628,5,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T04:15:00.000Z,2020-09-10T04:30:00.000Z,175,700,5,80,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T04:30:00.000Z,2020-09-10T04:45:00.000Z,188,752,6,81,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T04:45:00.000Z,2020-09-10T05:00:00.000Z,198,792,6,80,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T05:00:00.000Z,2020-09-10T05:15:00.000Z,185,740,5,80,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T05:15:00.000Z,2020-09-10T05:30:00.000Z,213,852,7,78,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T05:30:00.000Z,2020-09-10T05:45:00.000Z,214,856,9,64,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T05:45:00.000Z,2020-09-10T06:00:00.000Z,194,776,8,59,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T06:00:00.000Z,2020-09-10T06:15:00.000Z,185,740,7,65,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T06:15:00.000Z,2020-09-10T06:30:00.000Z,159,636,6,64,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T06:30:00.000Z,2020-09-10T06:45:00.000Z,172,688,7,62,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T06:45:00.000Z,2020-09-10T07:00:00.000Z,152,608,6,55,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T07:00:00.000Z,2020-09-10T07:15:00.000Z,163,652,8,48,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T07:15:00.000Z,2020-09-10T07:30:00.000Z,170,680,12,38,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T07:30:00.000Z,2020-09-10T07:45:00.000Z,167,668,15,42,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T07:45:00.000Z,2020-09-10T08:00:00.000Z,157,628,5,65,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T08:00:00.000Z,2020-09-10T08:15:00.000Z,188,752,6,74,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T08:15:00.000Z,2020-09-10T08:30:00.000Z,160,640,5,78,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T08:30:00.000Z,2020-09-10T08:45:00.000Z,145,580,4,81,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T08:45:00.000Z,2020-09-10T09:00:00.000Z,137,548,4,80,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T09:00:00.000Z,2020-09-10T09:15:00.000Z,113,452,3,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T09:15:00.000Z,2020-09-10T09:30:00.000Z,106,424,3,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T09:30:00.000Z,2020-09-10T09:45:00.000Z,98,392,3,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T09:45:00.000Z,2020-09-10T10:00:00.000Z,91,364,2,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T10:00:00.000Z,2020-09-10T10:15:00.000Z,82,328,2,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T10:15:00.000Z,2020-09-10T10:30:00.000Z,97,388,2,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T10:30:00.000Z,2020-09-10T10:45:00.000Z,71,284,2,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T10:45:00.000Z,2020-09-10T11:00:00.000Z,73,292,2,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T11:00:00.000Z,2020-09-10T11:15:00.000Z,82,328,2,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T11:15:00.000Z,2020-09-10T11:30:00.000Z,98,392,3,83,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T11:30:00.000Z,2020-09-10T11:45:00.000Z,71,284,2,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T11:45:00.000Z,2020-09-10T12:00:00.000Z,66,264,1,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T12:00:00.000Z,2020-09-10T12:15:00.000Z,62,248,1,84,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T12:15:00.000Z,2020-09-10T12:30:00.000Z,56,224,1,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T12:30:00.000Z,2020-09-10T12:45:00.000Z,42,167,1,82,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T12:45:00.000Z,2020-09-10T13:00:00.000Z,31,124,0,85,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T13:00:00.000Z,2020-09-10T13:15:00.000Z,34,136,1,86,15,2020,9,10
11373365:61:streams.metro.tmr.its,2020-09-10T13:15:00.000Z,2020-09-10T13:30:00.000Z,35,140,1,85,15,2020,9,10
